Input sentence,Output sentence
"সুতরাং পরিবর্তন যা ঘটে , তা অবশ্যই ঘটে পণ্যটির থেকে এবং তা ঘটে প্রথম ক্রিয়াটিতে , অ - প পর্যায়টিতে ; কিন্তু যার মূল্যে কোনো পরিবর্তন ঘটে না , কেননা বিনিময় ঘটে সমান সমানের থেকে এবং পণ্যটির পূর্ণ মূল্যই যার জন্য যা দেয় তা দেওয়া হয় ।","সুতরাং পরিবর্তন যা ঘটে , তা অবশ্যই ঘটে পণ্যটির মধ্যে এবং তা ঘটে প্রথম ক্রিয়াটিতে , অ - প পর্যায়টিতে ; কিন্তু তার মূল্যে কোনো পরিবর্তন ঘটে না , কেননা বিনিময় ঘটে সমান সমানের মধ্যে এবং পণ্যটির পূর্ণ মূল্যই তার জন্য যা দেয় তা দেওয়া হয় ।"
"অতএব , আমরা এই সিদ্ধান্ত করতে বাধ্য হই যে পরিবর্তনের সূচনা হয় পণ্যটির ব্যবহার মূল্যের থেকে অর্থাৎ যার পরিভোগর থেকে ।","অতএব , আমরা এই সিদ্ধান্ত করতে বাধ্য হই যে পরিবর্তনের সূচনা হয় পণ্যটির ব্যবহার মূল্যের মধ্যে অর্থাৎ তার পরিভোগর মধ্যে ।"
"কোন পণ্যের পরিভোগ এর মূল্য নিষ্কর্ষিত করতে হলে , আমাদের বন্ধু শীটাকাভর থলিওয়ালা’কে এমন ভাগ্য করতে হবে যে , সঞ্চলনের পরিধির মধ্যেই তথা , বাজারেই , তাকে খুঁজে পেতে হবে একটি পণ্য , তার ব্যবহার - মূল্যের রয়েছে এই স্ববিশিষ্ট ক্ষমতা যে তা হবে মূল্যের একটি উৎসম্বরূপ , যে পণ্যটির পরিভোগ - ক্রিয়াটি নিজেই হচ্ছে শ্রমের একটি ঘূর্তরূপ এবং , যেই কারণেই মূল্যের সৃষ্টি ।","কোন পণ্যের পরিভোগ থেকে মূল্য নিষ্কর্ষিত করতে হলে , আমাদের বন্ধু শীটাকাভর থলিওয়ালা’কে এমন ভাগ্য করতে হবে যে , সঞ্চলনের পরিধির মধ্যেই তথা , বাজারেই , তাকে খুঁজে পেতে হবে একটি পণ্য , যার ব্যবহার - মূল্যের রয়েছে এই স্ববিশিষ্ট ক্ষমতা যে তা হবে মূল্যের একটি উৎসম্বরূপ , যে পণ্যটির পরিভোগ - ক্রিয়াটি নিজেই হচ্ছে শ্রমের একটি ঘূর্তরূপ এবং , সেই কারণেই মূল্যের সৃষ্টি ।"
অর্থের অধিকারী ব্যক্তিটি অবশ্য বাজারে শ্রমক্ষমতা বা শ্রম শক্তির থেকে এমন একটি বিশিষ্ট পণ্যের সাক্ষাৎ পায় ।,অর্থের অধিকারী ব্যক্তিটি অবশ্য বাজারে শ্রমক্ষমতা বা শ্রম শক্তির মধ্যে এমন একটি বিশিষ্ট পণ্যের সাক্ষাৎ পায় ।
"শ্রমশক্তি বা এমক্ষমতা বলতে বুঝতে হবে কোন মানুষের থেকে যে সব মানসিক ও শারীরিক ক্ষমতা থাকে , যে ক্ষমতাসমূহকে সে যে - কোন ধরনের ব্যবহার - মূল্য উৎপাদন করতে গেলেই প্রয়োগ করে — যেই সব ক্ষমতার মোট সমষ্টিকে ।","শ্রমশক্তি বা এমক্ষমতা বলতে বুঝতে হবে কোন মানুষের মধ্যে যে সব মানসিক ও শারীরিক ক্ষমতা থাকে , যে ক্ষমতাসমূহকে সে যে - কোন ধরনের ব্যবহার - মূল্য উৎপাদন করতে গেলেই প্রয়োগ করে — সেই সব ক্ষমতার মোট সমষ্টিকে ।"
"কিন্তু যাতে করে আমাদের টাকাওয়ালা ব্যক্তিটি পণ্য হিসাবে বিক্রয়ের জন্য উপস্থাপিত শ্রমের সাক্ষাৎ পায় , সেজন্য চাই নানাবিধ শর্তের পরিপূরণ ।","কিন্তু যাতে করে আমাদের টাকাওয়ালা ব্যক্তিটি পণ্য হিসাবে বিক্রয়ের জন্য উপস্থাপিত শ্রমের সাক্ষাৎ পায় , সেজন্য চাই নানাবিধ শর্তের পরিপূরণ ।"
"পণ্য বিনিময়ের নিজের প্রকৃতি এর যে - সব পরাপেক্ষিতার সম্পর্কের উদ্ভব ঘটে , যেই সম্পর্কসমূহ ব্যতীত অন্য কোনো সম্পর্কই স্বয়ং পণ্য - বিনিময় আভাসিত করে না ।","পণ্য বিনিময়ের নিজের প্রকৃতি থেকে যে - সব পরাপেক্ষিতার সম্পর্কের উদ্ভব ঘটে , সেই সম্পর্কসমূহ ব্যতীত অন্য কোনো সম্পর্কই স্বয়ং পণ্য - বিনিময় আভাসিত করে না ।"
"যদি এটা ধরে নেওয়া হয় তা হলে বাজারের শ্রমশক্তি পণ্য হিসেবে কেবল তখনি এবং ততটা পরিমাণেই আবিভূত হতে পারে , তখন এবং যতটা পরিমাণে যার অধিকারী অর্থাৎ যেই ব্যক্তিটি যে যেই শ্রমশক্তির ধারক যার যেই শক্তিকে বিক্রয়ের জন্য তথা পণ্য হিসেবে উপস্থাপিত করে ।","যদি এটা ধরে নেওয়া হয় তা হলে বাজারের শ্রমশক্তি পণ্য হিসেবে কেবল তখনি এবং ততটা পরিমাণেই আবিভূত হতে পারে , যখন এবং যতটা পরিমাণে তার অধিকারী অর্থাৎ সেই ব্যক্তিটি যে সেই শ্রমশক্তির ধারক তার সেই শক্তিকে বিক্রয়ের জন্য তথা পণ্য হিসেবে উপস্থাপিত করে ।"
যাতে করে সে তা করতে পারে সেইজন্য তাকে হতে হবে যার নিজের শ্রমক্ষমতার তথা নিজের ব্যক্তিসত্তার নিঃশত মালিক ।,যাতে করে সে তা করতে পারে সেইজন্য তাকে হতে হবে তার নিজের শ্রমক্ষমতার তথা নিজের ব্যক্তিসত্তার নিঃশত মালিক ।
মমসেন - ও যার ‘রোমের ইতিহাস’ - এ এ ধরনের ভুলের দ্বারা ভুল করেছেন ।,মমসেন - ও তার ‘রোমের ইতিহাস’ - এ এ ধরনের ভুলের পরে ভুল করেছেন ।
"পক্ষান্তরে , কেবল যেই মুহূর্ত থেকেই শ্রমের ফল সার্বজনীনভাবে পরিণত হয় পণ্যে ।","পক্ষান্তরে , কেবল সেই মুহূর্ত থেকেই শ্রমের ফল সার্বজনীনভাবে পরিণত হয় পণ্যে ।"
এম কথাটিকে ওখানে ভুল করে শ্রমশক্তি অর্থে ব্যবহার করা হয়েছে ।,এম কথাটিকে এখানে ভুল করে শ্রমশক্তি অর্থে ব্যবহার করা হয়েছে ।
