Input sentence,Output sentence,
शिक्षा क्या है?,शिक्षा क्या है?,
किसी भी कार्य को सीख लेने की क्रिया को शिक्षा कहा जा सकता है।,किसी भी कार्य को सीख लेने की क्रिया को शिक्षा कहा जा सकता है।,
ये केवल किताबी ज्ञान अर्जन तक ही सिमित नहीं है।,ये केवल किताबी ज्ञान अर्जन तक ही सीमित नहीं है।,
यह कई विभागों में बांटा जा सकता है।,यह कई विभागों में बांटा जा सकता है।,
"जैसे - व्यावहारिक शिक्षा, किताबी शिक्षा अथवा अध्यामित्क शिक्षा","जैसे - व्यावहारिक शिक्षा, किताबी शिक्षा अथवा आध्यात्मिक शिक्षा ।",
किताबी शिक्षा- ये वो ज्ञान होता है जो हम किताबों  के माध्यम से अर्जित करते हैं।,किताबी शिक्षा- ये वो ज्ञान होता है जो हम किताबों  के माध्यम से अर्जित करते हैं।,
पहले  विद्यालय की जगह लोग गुरुकुल में पढ़ा करते थे।,पहले  विद्यालय की जगह लोग गुरुकुल में पढ़ा करते थे।,
वहाँ  अचार्य होते थे शिक्षक के स्थान पे।,वहाँ  अचार्य होते थे शिक्षक के स्थान पर।,
व्यावहारिक शिक्षा- ये वो ज्ञान है जो शिशु से लेकर वृद्धावस्था तक हमारे साथ रहता है।,व्यावहारिक शिक्षा- ये वो ज्ञान है जो शिशु से लेकर वृद्धावस्था तक हमारे साथ रहता है।,
ये शिक्षा आप जीवन भर अर्जित करते है।,ये शिक्षा आप जीवन भर अर्जित करते है।,
"शिशु‌काल में माता- पिता से, बाल्यावस्था  में दोस्त और शिक्षकों से तथा युवावस्था से लेकर वृद्धावस्था तक जीवन और समय से।","शिशु‌काल में माता- पिता से, बाल्यावस्था  में दोस्त और शिक्षकों से तथा युवावस्था से लेकर वृद्धावस्था तक जीवन और समय से।",
"कहते है जीवन सबसे बड़ा शिक्षक है, ये सब सीखा देता है।","कहते है जीवन सबसे बड़ा शिक्षक है, यह सब सिखा देता है।",
ये सबसे आवश्यक शिक्षा होती है जो मनुष्यों के पास होनी ही चाहिए ।,यह सबसे आवश्यक शिक्षा होती है जो मनुष्यों के पास होनी ही चाहिए ।,
इसमें उन्हें कब कौन सी क्रिया करनी चाहिए और किसी क्रिया की क्या प्रतिक्रिया होनी चाहिए सिखाया जाता है।,इसमें उन्हें कब कौन सी क्रिया करनी चाहिए और किसी क्रिया की क्या प्रतिक्रिया होनी चाहिए सिखाया जाता है।,
अध्यात्मिक शिक्षा - अध्यात्मिक शिक्षा मे ईश्वर और उनसे जुड़ने की विधि सिखायी जाती है।,आध्यात्मिक शिक्षा - आध्यात्मिक शिक्षा मे ईश्वर और उनसे जुड़ने की विधि सिखायी जाती है।,
आज-कल लोग अध्यात्म की तरफ जाते कम दिखायी दे रहे।,आज-कल लोग अध्यात्म की तरफ जाते कम दिखायी दे रहे।,
"सतयुग, द्वापरयुग में स्वयं भगवान के अवतरण को हमारे वेदो-पुराणों ने बताया है।","सतयुग, द्वापरयुग में स्वयं भगवान के अवतरण को हमारे वेदो-पुराणों ने बताया है।",
ईश्वर का होना न होना तो मानने वाले पे निर्भर करता है।,ईश्वर का होना न होना तो मानने वाले पर निर्भर करता है।,
vh हो ये ना हो पर उनका जाप करने और स्मरण करने मात्र से शांति का अनुभव होता है।,वह हो या ना हो पर उनका जाप करने और स्मरण करने मात्र से शांति का अनुभव होता है।,
"आज भी कुछ लोग जैसे परमानंद, ओशो इत्यादि अध्यात्म की दुनिया में देखे जाते हैं।","आज भी कुछ लोग जैसे परमानंद, ओशो इत्यादि अध्यात्म की दुनिया में देखे जाते हैं।",
शिक्षा का महत्व जानने के लिए उसका इतिहास जानना आवश्यक है।,शिक्षा का महत्व जानने के लिए उसका इतिहास जानना आवश्यक है।,
अगर इस बिंदु पे सोचा जाए तो भी कोई एक समयकाल को शिक्षा का जन्म नहीं कहा जा सकता।,अगर इस बिंदु पर सोचा जाए तो भी कोई एक समयकाल को शिक्षा का जन्म नहीं कहा जा सकता।,
धरती पे मनुष्य काफी सालों से है।,धरती पर मनुष्य काफी सालों से है।,
"आदिमानव भी सीखते सीखते ही इस बिंदु तक पहुंचने की, इंसान जैसे दिखने वाले रोबोट का आविश्कार किया।",आदिमानव भी सीखते सीखते ही इस बिंदु तक पहुंच गए थे कि भोजन पका कर खाने लगे थे।,
मनुष्य हर एक पड़ाव से सिखता  है।,मनुष्य हर एक पड़ाव से सीखता  है।,
कहते है शिक्षा को इतिहास में सबसे ज्यादा महत्व वैदिककाल में दिया गया था।,कहते हैं शिक्षा को इतिहास में सबसे ज्यादा महत्व वैदिककाल में दिया गया था।,
वो काल ना सिर्फ पुरुषों बल्कि महिलाओं की शिक्षित करने पर जोर देता था।,वो काल न सिर्फ पुरुषों बल्कि महिलाओं को शिक्षित करने पर जोर देता था।,
"उस समय एसे वेद पुराण लिखे गए, जो आज भी ज्ञान का श्रोत है।","उस समय ऐसे वेद पुराण लिखे गए, जो आज भी ज्ञान का स्त्रोत है।",
जैसे-जैसे समय बिता गुरुकुल बनने लगे और बच्चे अपने माता- पिता से दुर रहकर शिक्षा ग्रहण करने लगे। शिक्षा के क्षेत्र में यह बहुत बड़ा योगदान था।,"जैसे-जैसे समय बीता गुरुकुल बनने लगे और बच्चे अपने माता- पिता से दूर रहकर शिक्षा ग्रहण करने लगे, शिक्षा के क्षेत्र में यह बहुत बड़ा योगदान था।",
"कई महान पुरुष जैसे चरक ने चिकित्सा के क्षेत्र में, आर्यभट्ट ने गणित के क्षेत्र में, और कितने ही महान पुरुषों ने अलग-अलग क्षेत्रो में काम किया।","कई महान पुरुष जैसे चरक ने चिकित्सा के क्षेत्र में, आर्यभट्ट ने गणित के क्षेत्र में, और कितने ही महान पुरुषों ने अलग-अलग क्षेत्रों में काम किया।",
"ये तो बात हुई ऐतिहासिक काल की, परंतु मध्यकाल की बात की जाए तो बहुत कम लोग होंगे जिनको ठीक से पढ़ना - लिखना आता था।",ये तो बात हुई ऐतिहासिक काल की परन्तु मध्यकाल की बात की जाए तो बहुत कम लोग होंगे जिनको ठीक से पढ़ना - लिखना आता था।,
बाकि लोग बोलना जानते थे इसलिए एक-दुसरे की बात समझ लेते थे।,बाकी लोग बोलना जानते थे इसलिए एक-दूसरे की बात समझ लेते थे।,
परंतु जब दुर कहीं अपनी बात पहुचानी होती तो चिठिठिया लिखने और पढ़ने के लिए ऐसे लोगो को खोजा जाता जो शिक्षित हो।,परन्तु जब दूर कहीं अपनी बात पंहुचानी होती तो चिट्ठियां लिखने और पढ़ने के लिए ऐसे लोगो को खोजा जाता जो शिक्षित हो।,
"कई सालों तक पुर्तगालियों, मुगलों और फिरंगीयों ने हम सब पर शासन किया।","कई सालों तक पुर्तगालियों, मुगलों और फिरंगियों ने हम सब पर शासन किया।",
वे इस घटना में सफल भी इसिलिए हो पाए क्योंकि हमारी आधी से अधिक जनता अशिक्षित थी।,वे इस घटना में सफल भी इसीलिए हो पाए क्योंकि हमारी आधी से अधिक जनता अशिक्षित थी।,
यही कारन है कि फुट डालों और शासन करों की निति एक बेहतर हथियार साबित हुई।,यही कारण है कि फूट डालो और शासन करो की नीति एक बेहतर हथियार साबित हुई।,
"इसी काल में बुद््ध  और महावीर जैसे महान पुरुष हुए जिन्होनें ना सिर्फ ज्ञान प्राप्त किया, परंतु दूसरों तक भी इसे पहुंचाया।",इसी काल में बुद््ध  और महावीर जैसे महान पुरुष हुए जिन्होनें न सिर्फ ज्ञान प्राप्त किया परन्तु दूसरों तक भी इसे पहुंचाया।,
आज बुद््ध और जैन धर्म को लोग भारत में ही नहीं विदेशो में भी अपनाते है।,आज बुद््ध और जैन धर्म को लोग भारत में ही नहीं विदेशो में भी अपनाते हैं ।,
