Input sentence,Output sentence,
నేను ఇప్పుడు రాయబోయే కథ శ్రీమద్ద భాగవతం లోనిది.,నేను ఇప్పుడు రాయబోయే కథ శ్రీమద్భాగవతం లోనిది.,
పర్వం ఉదోపాదుడు అనే ఒక వ్యక్తి ఉండేవాడు.,పూర్వం ఉదోపాదుడు అనే ఒక వ్యక్తి ఉండేవాడు.,
ఈయన స్వంబు మనువు యోక్క కొడుకు.,ఈయన స్వంబు మనువు యొక్క కొడుకు.,
ఈయనకు ఇద్దరు భర్యలు.,ఈయనకు ఇద్దరు భార్యలు.,
ఒకరి పేరు సురూచి ఇంక్కోరి పేరు సునీతి.,ఒకరి పేరు సురూచి ఇంకొకరి పేరు సునీతి.,
సునీతి చాలా మంచది మరియు అన్ని ధర్మాలు తెలుసు.,సునీతి చాలా మంచిది మరియు అన్ని ధర్మాలు తెలుసు.,
సురూచికి కొంచెం అంకారం ఎక్కువ.,సురుచికి కొంచెం అహంకారం ఎక్కువ.,
ఉధోపాదుడికి సునీతితో ఒక కొడుకు పుట్టాడు. అతని పెరు ఉత్తముడు.,ఉధోపాదుడికి సునీతితో ఒక కొడుకు పుట్టాడు. అతని పేరు ఉత్తముడు.,
సురుచికి పుట్టిన కొడుకు పేరు దవుడు.,సురుచికి పుట్టిన కొడుకు పేరు ధృవుడు.,
"ఉదోపాదుడికి సురూచి మీద మక్కువ ఎక్కువ(,) కాబట్టి తను ఏమి చెప్పిన కాదు అనే వాడు కాదు.","ఉదోపాదుడికి సురూచి మీద మక్కువ ఎక్కువ, కాబట్టి తను ఏమి చెప్పిన కాదు అనే వాడు కాదు.",
ఒకరోజు రాజమందిరంలో ఉత్తముడు ఉదోపాదుడి తొడపై కూర్చుని ఉన్నడు.,ఒకరోజు రాజమందిరంలో ఉత్తముడు ఉదోపాదుడి తొడపై కూర్చుని ఉన్నాడు.,
అది చూసి ధృవుడికి కూడా నాన్నగారి తోడ మీద కూర్చోవాలి అనిపించింది.,అది చూసి ధృవుడికి కూడా నాన్నగారి తొడ మీద కూర్చోవాలి అనిపించింది.,
ఇప్పుడే కథలో ముఖ్యమైన ఘట్టం జరగాన్నుంది.,ఇప్పుడే కథలో ముఖ్యమైన ఘట్టం జరగనుంది.,
ఇప్పుడు ధృవుడు వెళ్లి నానగారు నేను కూడా మీ తొడ మీద కూర్చుంటాను అని అడిగాడు.,ఇప్పుడు ధృవుడు వెళ్లి నాన్నగారు నేను కూడా మీ తొడ మీద కూర్చుంటాను అని అడిగాడు.,
సురుచి అక్కడే ఉండడం చూసి ఉదోపాదుడు ఎమి మాట్లాడలేదు.,సురుచి అక్కడే ఉండడం చూసి ఉదోపాదుడు ఏమి మాట్లాడలేదు.,
"అప్పుడు సురుచి ""ఒరే! నువ్వు అక్కడ కూర్చో వాలంటే నారాయణుడి అనుగ్రహం ఉండాలిరా, అలా ఉంటె నువ్వు సునీతి కడుపున ఎందుకు పుడతావు() నా కడుపున పుటే వాడివి కదా!""","అప్పుడు సురుచి ఒరేయ్ నువ్వు అక్కడ కూర్చో వాలంటే నారాయణుడి అనుగ్రహం ఉండాలిరా. అలా ఉంటే నువ్వు సునీతి కడుపున ఎందుకు పుడతావు, నా కడుపున పుట్టే వాడివి కదా!",
ఇది విని కూడా ఉదోపాదుడు ఏమీ మట్లాడలేదు.,ఇది విని కూడా ఉదోపాదుడు ఏమీ మాట్లాడలేదు.,
పిన్ని చెప్పిన మాటలు అర్థం కాక ఏడుస్తూ అమ్మ దగ్గరాకు వెళ్ళిపోయాడు.,పిన్ని చెప్పిన మాటలు అర్థం కాక ఏడుస్తూ అమ్మ దగ్గరకు వెళ్ళిపోయాడు.,
"అమ్మ ""ఏమేయిందిరా!"" అని అడిగిన చెప్పలేకపోయాడు.",అమ్మ ఏమైందిరా అని అడిగినా చెప్పలేకపోయాడు.,
అప్పుడు అంతఃపురంలోని చెలికతెలు వచ్చి జరిగిన విషయం సునీతికి చెప్పారు.,అప్పుడు అంతఃపురంలోని చెలికత్తెలు వచ్చి జరిగిన విషయం సునీతికి చెప్పారు.,
"అప్పుడు సునీతి, ""నీకు నారాయణుడి అనుగ్రహం లకపోతే, వెళ్లి అనుగ్రహం సంపాదించుకో"" అన్నది.","అప్పుడు సునీతి ""నీకు నారాయణుడి అనుగ్రహం లేకపోతే వెళ్లి అనుగ్రహం సంపాదించుకో"" అన్నది.",
కోపంతో ధృవుడు రాజా భవనం లోంచి బయటకు తప్పసు చేయడానికి పోయాడు.,కోపంతో ధృవుడు రాజభవనం నుంచి బయటకు తపస్సు చేయడానికి పోయాడు.,
ఈ చిన్ని వాడి ముచ్చట చూసి నారాద ముని వచ్చి ఇక్కడ తపస్సు చేయాలో చెప్పారు.,ఈ చిన్న వాడి ముచ్చట చూసి నారద ముని వచ్చి ఎక్కడ తపస్సు చేయాలో చెప్పారు.,
"కానీ నీ కోరిక ఏంటి అని అడగినప్పుడు, ""నాకు పెద్ద పదవి కావాలి"" అన్నాడు.","కానీ నీ కోరిక ఏంటి అని అడిగినప్పుడు, నాకు పెద్ద పదవి కావాలి అన్నాడు.",
కానీ ఆ పదవి ఎంతో ధృవుడికి కూడా తెలియదు పాపం.,కానీ ఆ పదవి ఏంటో ధృవుడికి కూడా తెలియదు పాపం.,
అలా నారదుడి మాట విని ధృవుడు ఒక సరోవరం దగ్గర తప్పసు మొదలుపెట్టాడు.,అలా నారదుడి మాట విని ధృవుడు ఒక సరోవరం దగ్గర తపస్సు మొదలుపెట్టాడు.,
ముందు పద్దమాసనంతో మోదలుపెట్టి తప్పసు చేసాడు.,ముందు పద్మాసనంతో మొదలుపెట్టి తపస్సు చేసాడు.,
ఒక వారం గడిచిపోయింది(),ఒక వారం గడిచిపోయింది.,
